InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
548514,21977,,1,2011-03-31 16:03:00,2.08,,United Kingdom
541695,90161A,,1,2011-01-20 18:01:00,4.98,,United Kingdom
552234,21196,,1,2011-05-06 16:01:00,3.29,,United Kingdom
564817,21683,,3,2011-08-30 12:02:00,5.79,,United Kingdom
568716,22585,,1,2011-09-28 16:13:00,2.46,,United Kingdom
564755,22212,,1,2011-08-30 10:31:00,4.13,,United Kingdom
563193,22348,,1,2011-08-12 16:30:00,1.63,,United Kingdom
543358,84050,,1,2011-02-07 14:04:00,4.13,,United Kingdom
565928,23025,,6,2011-09-08 10:09:00,2.08,,EIRE
550987,82484,,1,2011-04-21 18:10:00,16.63,,United Kingdom
539492,22029,,5,2010-12-20 10:14:00,0.85,,United Kingdom
567461,22356,,1,2011-09-20 12:31:00,5.63,,United Kingdom
575739,23377,,2,2011-11-11 09:05:00,0.83,,United Kingdom
558475,21327,,40,2011-06-29 15:58:00,0.83,,United Kingdom
562955,22622,,1,2011-08-11 10:14:00,20.79,,United Kingdom
581492,90198A,,2,2011-12-09 10:03:00,4.15,,United Kingdom
558475,90116,,1,2011-06-29 15:58:00,2.46,,United Kingdom
558068,20727,,1,2011-06-24 15:51:00,4.13,,United Kingdom
538566,72051S,,5,2010-12-13 11:21:00,0.84,,United Kingdom
560567,84997d,,1,2011-07-19 13:57:00,8.29,,United Kingdom
536780,21481,,1,2010-12-02 15:09:00,2.95,,United Kingdom
541422,20724,,3,2011-01-17 17:48:00,1.63,,United Kingdom
541999,22629,,1,2011-01-25 10:45:00,4.13,,United Kingdom
550953,22684,,1,2011-04-21 16:17:00,2.46,,United Kingdom
568949,23199,,2,2011-09-29 15:13:00,4.13,,United Kingdom
560772,22331,,1,2011-07-20 16:12:00,3.29,,United Kingdom
553387,23172,,2,2011-05-16 16:33:00,3.29,,United Kingdom
581217,84535B,,1,2011-12-08 09:20:00,1.46,,United Kingdom
554514,21289,,1,2011-05-24 15:58:00,1.25,,United Kingdom
559055,84796A,,3,2011-07-05 17:09:00,8.29,,United Kingdom
560434,22104,,1,2011-07-18 15:56:00,1.63,,United Kingdom
551340,22555,,1,2011-04-27 17:23:00,3.29,,United Kingdom
568135,22086,,1,2011-09-23 17:04:00,5.79,,United Kingdom
544089,85203,,2,2011-02-15 17:51:00,0.79,,United Kingdom
548502,21212,,22,2011-03-31 14:17:00,2.08,,United Kingdom
576662,22570,,1,2011-11-16 11:19:00,0.0,,United Kingdom
550471,22197,,19,2011-04-18 13:52:00,1.63,,United Kingdom
558475,20667,,2,2011-06-29 15:58:00,2.46,,United Kingdom
543826,85114B,,1,2011-02-14 09:41:00,3.29,,United Kingdom
573585,23271,,8,2011-10-31 14:41:00,1.63,,United Kingdom
538153,22186,,3,2010-12-09 16:31:00,5.91,,United Kingdom
574074,23334,,3,2011-11-02 15:33:00,1.25,,United Kingdom
538177,22730,,1,2010-12-10 09:51:00,7.62,,United Kingdom
578065,23522,,1,2011-11-22 15:41:00,5.79,,United Kingdom
540026,22713,,2,2011-01-04 13:25:00,0.85,,United Kingdom
555276,20712,,1,2011-06-01 17:28:00,4.13,,United Kingdom
556932,22386,,2,2011-06-15 15:41:00,4.13,,United Kingdom
569374,23514,,1,2011-10-03 16:14:00,4.13,,United Kingdom
567507,23158,,1,2011-09-20 14:46:00,4.13,,United Kingdom
553162,47593B,,1,2011-05-13 15:53:00,0.83,,United Kingdom
569700,21213,,1,2011-10-05 15:56:00,1.25,,United Kingdom
581023,22114,,31,2011-12-07 10:35:00,8.29,,United Kingdom
549295,85131D,,1,2011-04-07 19:49:00,0.83,,United Kingdom
568719,21988,,1,2011-09-28 16:19:00,1.63,,United Kingdom
572758,22621,,2,2011-10-25 18:39:00,3.29,,United Kingdom
541422,84969,,3,2011-01-17 17:48:00,3.29,,United Kingdom
546007,35914,,3,2011-03-08 15:34:00,0.83,,United Kingdom
569544,22645,,2,2011-10-04 16:33:00,3.29,,United Kingdom
554694,22995,,1,2011-05-25 17:06:00,0.83,,United Kingdom
540995,84313C,,1,2011-01-13 09:30:00,5.79,,United Kingdom
562955,21916,,13,2011-08-11 10:14:00,0.79,,United Kingdom
558068,84923,,1,2011-06-24 15:51:00,4.13,,United Kingdom
578344,22668,,1,2011-11-24 09:21:00,5.79,,United Kingdom
543530,22968,,1,2011-02-09 12:46:00,19.96,,United Kingdom
544599,22180,,1,2011-02-21 18:15:00,20.79,,United Kingdom
555924,21306,,1,2011-06-07 17:12:00,3.29,,United Kingdom
571082,35964,,1,2011-10-13 15:25:00,0.83,,United Kingdom
564818,22029,,2,2011-08-30 12:10:00,0.83,,United Kingdom
552660,21430,,3,2011-05-10 15:03:00,7.46,,United Kingdom
553148,22453,,6,2011-05-13 14:09:00,2.95,,Hong Kong
540681,21632,,1,2011-01-10 16:25:00,8.47,,United Kingdom
550215,22385,,2,2011-04-15 10:43:00,4.13,,United Kingdom
543171,20725,,6,2011-02-04 09:11:00,4.96,,United Kingdom
568408,23205,,8,2011-09-27 10:40:00,2.46,,United Kingdom
564516,20711,,3,2011-08-25 14:45:00,4.13,,United Kingdom
571082,22356,,4,2011-10-13 15:25:00,1.63,,United Kingdom
576617,23229,,1,2011-11-15 16:57:00,7.46,,United Kingdom
579471,23389,,2,2011-11-29 15:08:00,8.29,,United Kingdom
575739,23294,,1,2011-11-11 09:05:00,2.46,,United Kingdom
553389,21868,,2,2011-05-16 16:37:00,3.29,,United Kingdom
559055,20856,,4,2011-07-05 17:09:00,1.63,,United Kingdom
570187,22563,,1,2011-10-07 15:09:00,2.46,,United Kingdom
571713,23565,,1,2011-10-18 16:58:00,2.46,,United Kingdom
554054,85053,,1,2011-05-20 15:29:00,4.13,,United Kingdom
556812,85087,,1,2011-06-14 17:25:00,3.29,,United Kingdom
581492,23158,,1,2011-12-09 10:03:00,4.13,,United Kingdom
553013,23298,,1,2011-05-12 18:19:00,10.79,,United Kingdom
558777,20768,,1,2011-07-04 10:23:00,2.46,,United Kingdom
560434,22534,,2,2011-07-18 15:56:00,0.83,,United Kingdom
556932,84912A,,2,2011-06-15 15:41:00,3.29,,United Kingdom
539434,21398,,1,2010-12-17 14:41:00,4.21,,United Kingdom
554514,23163,,2,2011-05-24 15:58:00,4.96,,United Kingdom
580612,22379,,5,2011-12-05 11:58:00,4.96,,United Kingdom
561218,17012F,,1,2011-07-25 17:11:00,2.46,,United Kingdom
559052,37479P,,6,2011-07-05 16:53:00,0.97,,United Kingdom
572550,22337,,3,2011-10-24 17:06:00,0.63,,United Kingdom
567901,35961,,1,2011-09-22 16:28:00,1.63,,United Kingdom
564516,22371,,1,2011-08-25 14:45:00,8.29,,United Kingdom
576329,22489,,2,2011-11-14 15:22:00,0.83,,United Kingdom
563439,84029E,,3,2011-08-16 13:05:00,7.46,,United Kingdom
581492,90177A,,1,2011-12-09 10:03:00,2.9,,United Kingdom
576617,21379,,1,2011-11-15 16:57:00,2.46,,United Kingdom
571713,22167,,1,2011-10-18 16:58:00,8.29,,United Kingdom
564838,84536B,,1,2011-08-30 12:43:00,0.83,,United Kingdom
569544,21929,,10,2011-10-04 16:33:00,4.13,,United Kingdom
541827,21012,,2,2011-01-21 17:05:00,2.46,,United Kingdom
540832,22411,,68,2011-01-11 14:42:00,4.13,,United Kingdom
577150,21485,,1,2011-11-18 09:48:00,7.46,,United Kingdom
573585,22135,,5,2011-10-31 14:41:00,0.83,,United Kingdom
556459,85040A,,1,2011-06-10 17:25:00,3.29,,United Kingdom
568719,22100,,1,2011-09-28 16:19:00,2.46,,United Kingdom
544434,22964,,2,2011-02-18 16:12:00,4.13,,United Kingdom
546136,22260,,4,2011-03-09 16:32:00,1.63,,United Kingdom
543237,22637,,1,2011-02-04 13:39:00,5.79,,United Kingdom
539958,82613D,,15,2010-12-23 13:26:00,0.85,,United Kingdom
575739,21137,,1,2011-11-11 09:05:00,7.46,,United Kingdom
538351,21485,,9,2010-12-10 15:17:00,11.02,,United Kingdom
543533,22144,,2,2011-02-09 13:00:00,4.13,,United Kingdom
540848,22201,,1,2011-01-12 09:26:00,3.36,,United Kingdom
578347,90197B,,1,2011-11-24 09:26:00,4.98,,United Kingdom
540468,84660B,,1,2011-01-07 13:55:00,3.36,,United Kingdom
569202,72586,,1,2011-09-30 17:22:00,0.83,,United Kingdom
575176,22963,,1,2011-11-08 18:29:00,1.63,,United Kingdom
580983,22026,,1,2011-12-06 16:26:00,0.83,,United Kingdom
578746,23204,,26,2011-11-25 11:36:00,2.46,,United Kingdom
550500,23004,,1,2011-04-18 15:26:00,0.83,,United Kingdom
566757,84692,,2,2011-09-14 15:54:00,0.83,,United Kingdom
567667,23156,,1,2011-09-21 15:24:00,4.13,,United Kingdom
558475,84673A,,1,2011-06-29 15:58:00,0.79,,United Kingdom
553393,20719,,1,2011-05-16 16:46:00,1.63,,United Kingdom
564835,21934,,1,2011-08-30 12:31:00,1.63,,United Kingdom
579471,23199,,3,2011-11-29 15:08:00,4.13,,United Kingdom
558904,20828,,1,2011-07-04 16:18:00,4.96,,United Kingdom
539595,22406,,1,2010-12-20 13:43:00,2.51,,United Kingdom
537240,82583,,1,2010-12-06 10:08:00,4.21,,United Kingdom
538351,22355,,267,2010-12-10 15:17:00,2.51,,United Kingdom
560926,84673A,,2,2011-07-22 09:20:00,0.79,,United Kingdom
581217,22941,,1,2011-12-08 09:20:00,16.63,,United Kingdom
579187,22134,,2,2011-11-28 15:31:00,0.83,,United Kingdom
581217,90182C,,1,2011-12-08 09:20:00,2.9,,United Kingdom
537687,84840,,-9,2010-12-08 10:26:00,0.0,,United Kingdom
560292,22411,,3,2011-07-18 10:19:00,4.13,,United Kingdom
536592,22311,,2,2010-12-01 17:06:00,5.91,,United Kingdom
570187,23368,,3,2011-10-07 15:09:00,1.25,,United Kingdom
550215,23193,,1,2011-04-15 10:43:00,4.58,,United Kingdom
545897,20616,,2,2011-03-07 17:22:00,1.63,,United Kingdom
539750,22734,,21,2010-12-21 15:40:00,5.91,,United Kingdom
537641,22947,,1,2010-12-07 15:32:00,34.0,,United Kingdom
567670,DOT,,1,2011-09-21 15:32:00,220.5,,United Kingdom
562114,20674,,1,2011-08-02 16:14:00,2.46,,United Kingdom
544681,22988,,9,2011-02-22 16:28:00,1.25,,United Kingdom
562420,23301,,1,2011-08-04 16:38:00,3.29,,United Kingdom
565232,20932,,1,2011-09-02 09:30:00,7.46,,United Kingdom
570258,21967,,1,2011-10-10 09:56:00,0.79,,United Kingdom
541421,35648,,4,2011-01-17 17:44:00,1.63,,United Kingdom
547250,22361,,1,2011-03-22 09:30:00,5.79,,United Kingdom
556433,21155,,7,2011-06-10 14:01:00,4.96,,United Kingdom
571305,82482,,4,2011-10-17 09:55:00,4.96,,United Kingdom
536592,22459,,1,2010-12-01 17:06:00,5.06,,United Kingdom
567670,21231,,2,2011-09-21 15:32:00,2.46,,United Kingdom
540646,21879,,1,2011-01-10 14:32:00,0.43,,United Kingdom
580729,46776A,,8,2011-12-05 17:24:00,4.13,,United Kingdom
566757,17003,,1,2011-09-14 15:54:00,0.83,,United Kingdom
562420,21878,,1,2011-08-04 16:38:00,1.63,,United Kingdom
562934,22423,,1,2011-08-10 16:56:00,24.96,,United Kingdom
555925,22907,,2,2011-06-07 17:13:00,1.63,,United Kingdom
540995,22348,,1,2011-01-13 09:30:00,1.63,,United Kingdom
569414,20727,,22,2011-10-04 10:11:00,4.96,,United Kingdom
537823,22337,,1,2010-12-08 14:25:00,1.28,,United Kingdom
537237,22750,,1,2010-12-06 09:58:00,7.62,,United Kingdom
539434,22847,,1,2010-12-17 14:41:00,34.0,,United Kingdom
567901,85039A,,1,2011-09-22 16:28:00,1.63,,United Kingdom
577150,35970,,12,2011-11-18 09:48:00,4.13,,United Kingdom
578347,23569,,1,2011-11-24 09:26:00,4.95,,United Kingdom
562933,23236,,1,2011-08-10 16:51:00,5.79,,United Kingdom
562843,84568,,4,2011-08-09 17:37:00,0.42,,United Kingdom
566446,21494,,1,2011-09-12 15:40:00,2.46,,United Kingdom
562264,84970L,,2,2011-08-03 16:14:00,2.08,,United Kingdom
539631,21916,,1,2010-12-20 15:03:00,0.85,,United Kingdom
571082,82578,,1,2011-10-13 15:25:00,1.25,,United Kingdom
562417,22513,,1,2011-08-04 16:32:00,7.46,,United Kingdom
560772,22503,,1,2011-07-20 16:12:00,16.63,,United Kingdom
560434,22701,,1,2011-07-18 15:56:00,2.46,,United Kingdom
543532,22456,,1,2011-02-09 12:59:00,9.96,,United Kingdom
540352,21618,,1,2011-01-06 14:27:00,2.51,,United Kingdom
540026,20766,,1,2011-01-04 13:25:00,7.62,,United Kingdom
574950,20733,,1,2011-11-08 09:29:00,0.83,,United Kingdom
539735,21154,,2,2010-12-21 15:17:00,3.36,,United Kingdom
557937,84907,,1,2011-06-23 15:30:00,5.79,,United Kingdom
568411,22960,,1,2011-09-27 10:52:00,8.29,,United Kingdom
556803,79321,,5,2011-06-14 14:57:00,12.46,,United Kingdom
581498,20712,,3,2011-12-09 10:26:00,4.13,,United Kingdom
543097,22457,,1,2011-02-03 11:41:00,5.79,,United Kingdom
566949,22486,,1,2011-09-15 16:32:00,8.29,,United Kingdom
573553,85123a,,2,2011-10-31 13:48:00,6.63,,United Kingdom
546888,22681,,1,2011-03-17 18:15:00,2.46,,United Kingdom
566221,22130,,6,2011-09-09 16:13:00,1.38,,United Kingdom
537434,84030E,,3,2010-12-06 16:57:00,8.47,,United Kingdom
561209,21179,,1,2011-07-25 16:57:00,1.63,,United Kingdom
559052,21618,,1,2011-07-05 16:53:00,2.46,,United Kingdom
544681,20674,,4,2011-02-22 16:28:00,2.46,,United Kingdom
568057,22297,,2,2011-09-23 12:56:00,2.46,,United Kingdom
575947,48194,,4,2011-11-13 11:50:00,14.13,,United Kingdom
555510,22090,,5,2011-06-03 17:09:00,5.79,,United Kingdom
566949,21975,,5,2011-09-15 16:32:00,0.55,,United Kingdom
550986,48188,,1,2011-04-21 18:06:00,15.79,,United Kingdom
555275,85199L,,1,2011-06-01 17:18:00,1.25,,United Kingdom
565927,22770,,2,2011-09-08 10:08:00,14.95,,EIRE
559041,22501,,1,2011-07-05 15:33:00,20.79,,United Kingdom
543358,22422,,1,2011-02-07 14:04:00,1.25,,United Kingdom
576840,22916,,1,2011-11-16 15:23:00,1.63,,United Kingdom
561209,22321,,2,2011-07-25 16:57:00,1.63,,United Kingdom
545215,21934,,1,2011-02-28 16:47:00,3.29,,United Kingdom
571508,21930,,2,2011-10-17 15:27:00,4.13,,United Kingdom
537637,85034C,,1,2010-12-07 15:22:00,4.25,,United Kingdom
577768,22419,,3,2011-11-21 15:18:00,0.83,,United Kingdom
542622,84375,,2,2011-01-31 09:09:00,4.13,,United Kingdom
547788,20751,,1,2011-03-25 12:00:00,4.13,,United Kingdom
575177,22651,,1,2011-11-08 18:41:00,1.63,,United Kingdom
548894,84510A,,1,2011-04-04 16:01:00,2.46,,United Kingdom
574967,23204,,16,2011-11-08 10:51:00,2.46,,United Kingdom
540821,35957,,1,2011-01-11 13:16:00,1.66,,United Kingdom
559693,22179,,3,2011-07-11 16:21:00,5.79,,United Kingdom
579297,22776,,1,2011-11-29 11:23:00,19.96,,United Kingdom
580537,23266,,1,2011-12-04 16:08:00,1.25,,United Kingdom
539436,22467,,1,2010-12-17 14:49:00,5.06,,United Kingdom
566949,35471D,,4,2011-09-15 16:32:00,1.25,,United Kingdom
564820,22169,,2,2011-08-30 12:16:00,16.63,,United Kingdom
559506,20665,,1,2011-07-08 15:17:00,2.46,,United Kingdom
580730,22541,,1,2011-12-05 17:28:00,0.83,,United Kingdom
552508,20978,,2,2011-05-09 16:27:00,2.46,,United Kingdom
556082,22364,,4,2011-06-08 15:22:00,5.79,,United Kingdom
559693,20664,,2,2011-07-11 16:21:00,2.46,,United Kingdom
559052,21633,,1,2011-07-05 16:53:00,8.29,,United Kingdom
577531,85040a,,1,2011-11-20 13:58:00,3.29,,United Kingdom
573137,22248,,1,2011-10-27 17:15:00,1.63,,United Kingdom
538877,20726,,16,2010-12-14 15:29:00,5.06,,United Kingdom
536544,85039A,,3,2010-12-01 14:32:00,1.66,,United Kingdom
580367,20728,,1,2011-12-02 16:39:00,4.13,,United Kingdom
559816,22616,,5,2011-07-12 16:11:00,0.83,,United Kingdom
556082,21989,,1,2011-06-08 15:22:00,1.63,,United Kingdom
541696,22381,,3,2011-01-20 18:08:00,4.13,,United Kingdom
558388,22744,,6,2011-06-29 10:00:00,2.95,,EIRE
541592,21625,,7,2011-01-19 15:08:00,5.79,,United Kingdom
537237,21069,,1,2010-12-06 09:58:00,2.51,,United Kingdom
564835,85114C,,6,2011-08-30 12:31:00,3.29,,United Kingdom
537823,21967,,1,2010-12-08 14:25:00,0.85,,United Kingdom
558808,22386,,1,2011-07-04 11:10:00,4.13,,United Kingdom
557937,20978,,6,2011-06-23 15:30:00,1.25,,United Kingdom
574074,23568,,1,2011-11-02 15:33:00,2.46,,United Kingdom
576617,22196,,4,2011-11-15 16:57:00,1.63,,United Kingdom
546406,85203,,2,2011-03-11 16:21:00,0.79,,United Kingdom
552683,21172,,1,2011-05-10 15:09:00,4.13,,United Kingdom
558809,22297,,5,2011-07-04 11:10:00,2.46,,United Kingdom
560567,79321,,5,2011-07-19 13:57:00,12.46,,United Kingdom
559337,21932,,2,2011-07-07 16:27:00,2.46,,United Kingdom
547547,21001,,1,2011-03-23 15:30:00,4.13,,United Kingdom
565767,22666,,1,2011-09-06 14:28:00,6.63,,United Kingdom
559693,23032,,1,2011-07-11 16:21:00,3.29,,United Kingdom
558066,20751,,1,2011-06-24 15:45:00,4.13,,United Kingdom
573137,21558,,1,2011-10-27 17:15:00,4.96,,United Kingdom
554956,22074,,2,2011-05-27 15:17:00,2.46,,United Kingdom
572549,22173,,1,2011-10-24 17:03:00,5.79,,United Kingdom
548194,22766,,1,2011-03-29 15:30:00,5.79,,United Kingdom
578065,84875B,,1,2011-11-22 15:41:00,7.46,,United Kingdom
557938,22102,,4,2011-06-23 15:35:00,3.29,,United Kingdom
550987,22090,,3,2011-04-21 18:10:00,5.79,,United Kingdom
572550,23328,,2,2011-10-24 17:06:00,7.46,,United Kingdom
565840,82583,,1,2011-09-07 12:02:00,4.13,,United Kingdom
564974,21080,,1,2011-08-31 15:32:00,1.63,,United Kingdom
552520,22491,,4,2011-05-09 16:34:00,1.63,,United Kingdom
547967,85123A,,1,2011-03-28 15:49:00,5.79,,United Kingdom
581217,21224,,2,2011-12-08 09:20:00,0.83,,United Kingdom
550474,22224,,2,2011-04-18 13:58:00,5.79,,United Kingdom
559503,21763,,1,2011-07-08 15:06:00,0.0,,United Kingdom
541423,21531,,1,2011-01-17 17:54:00,4.96,,United Kingdom
571508,48187,,1,2011-10-17 15:27:00,15.79,,United Kingdom
564754,22192,,1,2011-08-30 10:29:00,16.63,,United Kingdom
538177,22754,,2,2010-12-10 09:51:00,1.66,,United Kingdom
576329,21232,,2,2011-11-14 15:22:00,2.46,,United Kingdom
580519,22730,,3,2011-12-04 14:51:00,8.29,,United Kingdom
570688,22418,,1,2011-10-11 16:29:00,1.63,,United Kingdom
581492,22280,,4,2011-12-09 10:03:00,2.46,,United Kingdom
558614,22173,,1,2011-06-30 15:56:00,5.79,,United Kingdom
569137,22666,,1,2011-09-30 14:45:00,5.79,,United Kingdom
559923,85176,,3,2011-07-13 16:07:00,0.79,,United Kingdom
554310,21936,,1,2011-05-23 15:25:00,5.79,,United Kingdom
575739,22539,,1,2011-11-11 09:05:00,0.83,,United Kingdom
567671,22197,,5,2011-09-21 15:34:00,1.63,,United Kingdom
581217,23298,,2,2011-12-08 09:20:00,10.79,,United Kingdom
546884,22994,,1,2011-03-17 18:08:00,0.83,,United Kingdom
549527,21620,,-1479,2011-04-08 16:03:00,0.0,,United Kingdom
567901,22149,,1,2011-09-22 16:28:00,4.13,,United Kingdom
538883,22197,,10,2010-12-14 15:56:00,1.66,,United Kingdom
568719,22718,,2,2011-09-28 16:19:00,0.83,,United Kingdom
563195,23005,,1,2011-08-12 16:36:00,0.83,,United Kingdom
567901,22819,,3,2011-09-22 16:28:00,0.42,,United Kingdom
545217,22725,,1,2011-02-28 16:59:00,7.46,,United Kingdom
573585,22548,,3,2011-10-31 14:41:00,2.46,,United Kingdom
553890,82095,,1,2011-05-19 16:32:00,4.96,,United Kingdom
545025,82494l,,1,2011-02-25 14:40:00,8.29,,United Kingdom
546896,21894,,1,2011-03-17 18:24:00,2.46,,United Kingdom
541422,22383,,1,2011-01-17 17:48:00,4.13,,United Kingdom
551005,22179,,2,2011-04-26 09:48:00,13.29,,United Kingdom
572549,51014A,,1,2011-10-24 17:03:00,0.83,,United Kingdom
551174,22654,,1,2011-04-26 17:02:00,11.63,,United Kingdom
538177,22570,,2,2010-12-10 09:51:00,7.62,,United Kingdom
537638,85170D,,1,2010-12-07 15:28:00,4.21,,United Kingdom
557938,23109,,1,2011-06-23 15:35:00,5.79,,United Kingdom
580730,22614,,3,2011-12-05 17:28:00,0.83,,United Kingdom
577150,22896,,2,2011-11-18 09:48:00,5.79,,United Kingdom
580612,20679,,2,2011-12-05 11:58:00,12.46,,United Kingdom
539434,22595,,8,2010-12-17 14:41:00,1.66,,United Kingdom
541421,84971S,,2,2011-01-17 17:44:00,1.63,,United Kingdom
575176,22602,,2,2011-11-08 18:29:00,1.63,,United Kingdom
541695,21210,,1,2011-01-20 18:01:00,2.92,,United Kingdom
575130,23497,,2,2011-11-08 14:38:00,1.45,,United Kingdom
541516,22211,,1,2011-01-18 17:34:00,1.63,,United Kingdom
545897,85054,,1,2011-03-07 17:22:00,5.79,,United Kingdom
570872,21014,,4,2011-10-12 16:40:00,0.83,,United Kingdom
574950,23133,,1,2011-11-08 09:29:00,16.63,,United Kingdom
546007,22134,,2,2011-03-08 15:34:00,0.83,,United Kingdom
540848,21790,,1,2011-01-12 09:26:00,1.66,,United Kingdom
543546,20974,,18,2011-02-09 16:52:00,1.25,,United Kingdom
550474,22586,,1,2011-04-18 13:58:00,1.63,,United Kingdom
539744,21876,,2,2010-12-21 15:21:00,3.36,,United Kingdom
540418,22834,,4,2011-01-07 11:04:00,1.66,,United Kingdom
556243,22602,,1,2011-06-09 16:07:00,1.63,,United Kingdom
540551,22263,,4,2011-01-10 09:43:00,0.81,,United Kingdom
569898,21813,,2,2011-10-06 16:08:00,3.29,,United Kingdom
540977,22174,,1,2011-01-12 15:01:00,3.36,,United Kingdom
536876,22059,,1,2010-12-03 11:36:00,3.36,,United Kingdom
568949,23054,,1,2011-09-29 15:13:00,16.63,,United Kingdom
566534,21041,,4,2011-09-13 11:32:00,6.63,,United Kingdom
548522,22183,,10,2011-03-31 16:43:00,5.79,,United Kingdom
547238,82613D,,1,2011-03-21 16:31:00,1.25,,United Kingdom
576617,23177,,1,2011-11-15 16:57:00,4.58,,United Kingdom
564838,85132C,,1,2011-08-30 12:43:00,5.79,,United Kingdom
552232,47566,,10,2011-05-06 15:54:00,4.95,,United Kingdom
574856,22720,,3,2011-11-07 12:06:00,10.79,,United Kingdom
540026,21773,,8,2011-01-04 13:25:00,1.28,,United Kingdom
537237,22150,,1,2010-12-06 09:58:00,4.21,,United Kingdom
544681,35915C,,2,2011-02-22 16:28:00,0.83,,United Kingdom
567668,22077,,1,2011-09-21 15:29:00,3.29,,United Kingdom
537823,22079,,2,2010-12-08 14:25:00,3.36,,United Kingdom
564837,21770,,1,2011-08-30 12:40:00,9.96,,United Kingdom
552338,22703,,6,2011-05-09 11:51:00,2.1,,United Kingdom
573585,22097,,1,2011-10-31 14:41:00,2.46,,United Kingdom
574967,84347,,17,2011-11-08 10:51:00,5.79,,United Kingdom
558896,23208,,1,2011-07-04 15:55:00,1.65,,United Kingdom
579744,23080,,2,2011-11-30 14:38:00,8.25,,United Kingdom
575649,85066,,1,2011-11-10 14:23:00,12.75,,United Kingdom
551995,22817,,1,2011-05-05 15:42:00,0.83,,United Kingdom
536592,84536A,,1,2010-12-01 17:06:00,0.85,,United Kingdom
539718,20676,,1,2010-12-21 13:06:00,2.51,,United Kingdom
574074,22689,,1,2011-11-02 15:33:00,16.63,,United Kingdom
578344,23004,,1,2011-11-24 09:21:00,0.83,,United Kingdom
537823,22651,,1,2010-12-08 14:25:00,1.66,,United Kingdom
555322,22197,,2,2011-06-02 11:01:00,1.63,,United Kingdom
561820,23150,,1,2011-07-29 16:00:00,4.96,,United Kingdom
578344,46776A,,2,2011-11-24 09:21:00,4.13,,United Kingdom
558683,21866,,4,2011-07-01 11:23:00,3.29,,United Kingdom
540154,84510A,,1,2011-01-05 11:30:00,2.51,,United Kingdom
541811,20711,,1,2011-01-21 15:01:00,4.13,,United Kingdom
564758,23172,,1,2011-08-30 10:39:00,3.29,,United Kingdom
537240,22112,,7,2010-12-06 10:08:00,11.02,,United Kingdom
554694,23175,,2,2011-05-25 17:06:00,3.25,,United Kingdom
566949,21990,,2,2011-09-15 16:32:00,2.46,,United Kingdom
561209,22501,,1,2011-07-25 16:57:00,20.79,,United Kingdom
544089,82600,,1,2011-02-15 17:51:00,4.13,,United Kingdom
540977,20652,,2,2011-01-12 15:01:00,0.85,,United Kingdom
562955,21790,,1,2011-08-11 10:14:00,1.63,,United Kingdom
568719,21669,,6,2011-09-28 16:19:00,3.29,,United Kingdom
